ID	Title	Keywords	Orders	ground_text
228	夏装女装季末清仓促销样衣处理大码胖mm亏本断码孤品品牌连衣裙流苏搭配收腰	流苏;搭配;收腰	1;0;2	衣服整体都采用了复古的风格设计,简洁大气的设计,搭配了流苏的收腰设计,独特个性而不会夸张,沉稳更有气质,非常适合春季哦
229	生活在左新款秋冬女装棉麻短袖圆领针织衫上衣束缚针织棉料廓型	束缚;针织;棉料;廓型	3;2;1;0	宽松自由设计造就优雅廓型,柔软的舒适的棉料,尽享自在的舒适感。舒适的针织触感,就像是婴儿的襁褓,没有任何侵略性,丝毫感受不到束缚,就像一个人
230	所在新款圆领宽松双层印花丝质无袖连衣裙圆领印花透气	圆领;印花;透气	0;1;2	圆领设计,能充分凸显女性颀长优美的脖颈线条,手感温润的印花很好的表达了抽象的墨意,外层垂感很好的人丝棉,春夏穿着透气舒适
231	凯文克莱/经典男装纯色棉睿智商务衬衫闭合皮肤纯色纯棉	闭合;皮肤;纯色;纯棉	3;1;2;0	纯棉优质面料,透气性好,接触皮肤感到柔软而不僵硬。纯色的设计看上去沉着稳重。胸前一排纽扣,不仅穿脱方便自如,还能起到很好的装饰作用。双纽扣闭合袖口设计,根据你的需要,进行调节,方便你的活动。简单一件衬衫,就可以彰显出在职场上应有的气质。
232	洛竹原创春初秋装中长款钉珠绣花波西米亚民族风刺绣衬衫纯棉衬衣修身v领版型纤细	修身;v领;版型;纤细	0;2;3;1	修身版型,勾勒纤细腰肢,让雅致与低调气质尽显无余,优雅气质随着步履摇曳生姿。精致刺绣的点缀,打破单调的同时又增添了一份设计感,显得质感满满,吸睛率十足哦。简约大方的v领,很好的修饰了脸型,轻松为你打造出优美的天鹅颈,展现出女性独特的优雅气质。
233	卡宾正品拼接印花潮男t恤衫休闲男士短袖装b/色块印染短袖原创	色块;印染;短袖;原创	3;2;0;1	cabbeen/卡宾是中国最知名的原创设计师品牌之一,这款短袖衬衫采用色块拼接的创意,且每个色块通过不同面料缝合而成,而非简单的印染实现,即重设计又
234	木果果木韩版宽松大码女装衬衣中长款长袖衬衫女无印显瘦纯色良品	无印;显瘦;纯色;良品	0;3;2;1	喜欢这款的理由很纯粹,就像衣服本身,纯粹的无印,纯粹的良品。简约的纯色,手感超舒服,上身出乎意料的显瘦。《欧范小姐》:时尚编辑simple
235	三彩丽雪女装专柜正品夏装新款撞色印花卷边牛仔裤马甲式穿衣系扣	马甲式;穿衣;系扣	1;0;2	让人感觉很干练,很精神的一款背带裤,穿衣打扮中,最美不过连衣裙,最帅就是连体裤。与其费尽心思拗造型,不如由着自己的性子。一款马甲式系扣背带牛
236	莫代尔v领夏季短袖纯色大码白色军绿色修身t恤女遮肉版型显瘦	遮肉;版型;显瘦	1;2;0	款式和配色都经典稳重,时尚袖口的点缀使原本平淡的t恤增添时尚个性的风格,简约百搭。柔软宽松的版型显瘦又遮肉,修饰出完美好身材,轻松打造街头风。
237	醉甜女神范大牌高端文艺欧根纱刺绣白色蓬蓬裙仙女长裙连衣裙v领设计高端无袖	v领设计;高端;无袖	0;2;1	清新简洁的v领设计,凸显高雅气质,唯美时尚;简洁大方的无袖设计,高端大气更显唯美;精堪的工艺诠释了整件衣服的质感,简洁却不失潮流的设计更加清新
238	小虫新品高端织金线长袖开衫女款针织衫超薄款半透视针织	超薄款;半透视;针织	2;0;1	特别适合这个季节的针织衫,超薄款,半透视,若隐若现的朦胧性感,纱线针织非常特别,超精细的高纺工艺,清晰的勾对工艺,织入金线,增添了blining视觉
239	红馆真丝缎旗袍桑蚕丝手工盘扣全开襟日常喇叭袖京派改良分外香小淡粉色元宝领	小;淡粉色;元宝领	1;0;2	这件京派气质的旗袍,穿在身上不仅仅是美的享受,更是生命的品味与追求。淡粉色的娇俏恰如含苞待放,妩媚温婉。领口传承经典的小元宝领,柔和脸部线条,加重了复古的韵味。
240	夏秋新款韩版修身女网纱雪纺裙子公主欧根纱蕾丝刺绣连衣裙迷人圆领隐藏半透明	迷人;圆领;隐藏;半透明	1;0;3;2	经典舒适的圆领设计,完美的呈现出女性精致锁骨和完美的颈部线条,娇俏迷人;精致的清新半透明设计,若隐若现的美感,很好的隐藏手臂赘肉。
241	清凉衬衫女长袖江南范桑蚕丝100%真丝不规则宽松上衣下摆不对称搭配	下摆;不对称;搭配	0;1;2	这款下摆不对称的宽松上衣,很费面料,但穿着效果一流,只需搭配简单的打底裤就能出彩,对身材完全无要求,零负担。
242	元本2019秋季新款男针织开衫修身拼接毛衣学院风小清新针织有型v领设计	针织;有型;v领设计	0;1;2	采用精选的针织面料,细腻柔软的触感,穿着舒适不扎肤。帅气有型的v领设计,修饰完美的脖颈线条,尽显出男性的温柔性感。衣身两色拼接,丰富整体造型感,穿着更具魅力。
243	乡村女孩碎花荷叶边吊带衫女装荷叶边下摆褶皱清爽	荷叶边;下摆;褶皱;清爽	2;0;1;3	【美国品牌】田园风情的少女,总给人想要亲近的感觉;风琴褶皱,层叠荷叶边下摆,清爽而又甜美。
244	索芭朵百搭女真丝上衣外穿打底衫桑蚕丝t恤无袖内衣针织背心搭配原创清爽显瘦	搭配;原创;清爽;显瘦	1;0;2;3	这款原创背心,优质的面料透气性好,舒适与时尚兼具。时尚简约的风格,大气又知性,反正时尚感很足。色系十分自然清新,释放阳光一般的唯美视觉,从而带来不一样的时尚美感。就是不用怎么费脑,只是稍微简单搭配,就能清爽又舒适,让你显瘦美搭。
245	抹茶故事男装新款波点拼接修身短袖衬衫男潮翻领撞色高端波点	翻领;撞色;高端;波点	3;1;0;2	时尚波点,经典撞色,犹如一叶扁舟漂在潮流中,永不沉默。时尚的翻领,尖尖的领口,给人一种犀利之感,这就是时尚潮牌的魅力。高端定制面料,只为你而定
246	春装新款女装名媛短款小香风外套女春秋薄上衣百搭大码妈妈装钉珠短款修身显瘦	钉珠;短款;修身;显瘦	0;3;1;2	优雅的小香风,纯手工钉珠装饰,明亮的光彩中更多一份优雅品味;显瘦的短款,修身气质的表达。
247	出品v+余文乐牛津纺长袖纯色衬衫非元素有型尖领单排扣	元素;有型;尖领;单排扣	0;3;2;1	永不过时的衬衫,融入清新元素,潮流好看随意百搭。简约流畅的线条,优雅细腻的设计,魅力十足。单排扣设计,做工精致质感十足,经久耐用。胸口口袋设计,增添衣服层次感,时尚好看,方便实用。尖领设计,硬朗有气质,穿着帅气有型尽显魅力。
248	歌莉娅秋冬装正品新款时尚短袖气质连衣裙女装荷叶边钉珠彩钻	荷叶边;钉珠;彩钻	0;2;1	荷叶边袖口制作,尽显淑女气质,高贵典雅,领口的彩钻钉珠设计,凸显奢华魅力,非常上档次
249	[111.1元秒]清仓榭都原创钉珠镂空网纱短裙裙子白色夏季夏天镂空几何形状	镂空;几何;形状	0;1;2	本季设计师对镂空有了不一样的解读,以精巧切割呈现出几何形状,赋于其摩登前卫质感。
250	佳菲特满夏装新款亚麻女装民族风短袖t恤宽松刺绣棉麻体恤女圆领半袖小v领螺纹	圆领;半袖;小v领;螺纹	0;2;3;1	时尚圆领加小v领设计,性感又优雅,螺纹半袖,精致小巧,俏皮中带着一点可爱,优选真贝壳纽扣,阳光下五彩缤纷,带来活泼的美感。
251	男装夏季新款自由古巴摩托车日记圆领印花t恤短袖t恤男圆领有型印花字母	圆领;有型;印花;字母	0;1;3;2	经典百搭的圆领设计,做工精细服帖有型,舒适休闲。袖口设计,能恰到好处的凸显休闲时尚感。摩托车与字母印花的结合,很好的提升丰富层次,潮流又百搭。
252	/杰胜春装男士纯亚麻长袖衬衫时尚宽松英伦大码上衣潮高端奢侈品质剪裁	高端;奢侈;品质;剪裁	1;3;2;0	zsnoi(杰胜),国内时尚轻奢侈男装品牌,意大利名师精心设计、面料奢华、剪裁严谨、品质优雅,为高端精英男士度身打造,开创智族人群轻奢侈时代新风潮
253	绒华贵族欧美女装冬季高档蛇纹蓝狐毛领短款长袖修身羽绒服女蛇纹狐毛短款蓝	蛇纹;狐毛;短款;蓝	2;0;3;1	短款毛领优雅蛇纹羽绒服,淡淡的散发出优雅高贵的气质,蓝狐毛的加入温暖同时又为衣服增添奢华感受
254	欧尼迩春间色通透后幅拼接雪纺圆领套头毛针织衫套头圆领雪纺间色	套头;圆领;雪纺;间色	3;2;1;0	全件间色通透质感后幅拼接雪纺圆领套头毛衫毛衫采用两种不同纱线间色,呈现出虚实对比的感觉。通透细腻。纱线质地凉爽,适合在炎热的夏季穿着,后幅拼
255	潮娲大牌提花蕾丝夏新款宫廷西装领修身显瘦连衣裙蕾丝品质花型	蕾丝;品质;花型	0;1;2	潮娲的蕾丝在品质和色彩上都是非常用心的,为了能让女王们体现高贵身份和气质,我们用料都是市面上最贵的面料,色彩花型时尚但要端庄,此款蕾丝柔软轻
256	品立裁魂夏装新款时尚男装休闲个性修身花中裤元素印花丛林	元素;印花;丛林	2;1;0	热带丛林印花热情四溢的棕榈叶、藤萝等丛林元素印花,仿佛历经了充足的日照和雨水,绽放出绚丽夺目的热带色泽,组成一个生机勃勃的热带雨林景象,散发
257	夏装男士休闲印花短袖衬衫狂想艺术衬衣印花剪裁尖领	印花;剪裁;尖领	0;2;1	叛逆印花,向不羁咆哮。极具英伦气质的尖领剪裁,绅士味道浓厚,精选优质纽扣,色泽晶莹透亮,完美出众难掩高品质。
258	春夏新款无袖波西米亚波点中长款连衣裙子式连体裤子花边袖褶皱小碎花u型领	花边袖;褶皱;小碎花;u型领	3;0;2;1	精致的u型领设计,露出精美的锁骨,花边袖设计,甜美可爱,裙身的小碎花设计,甜美可爱,腰间的褶皱设计,极具层次美感。
259	春秋新款白衬衫女长袖秋夏中长款宽松薄款欧美棉大码打底大牌有型褶皱密度	大牌;有型;褶皱;密度	3;1;2;0	密度较高的天丝棉,织工讲究,挺括有型,凉凉的,并且有自然褶皱的效果!穿在身上,很有大牌范儿!
260	爱特爱夏季女装纯色时尚收腰修身显瘦假两件连衣裙无袖淑女包臀裙搭配组合黑白明艳	搭配;组合;黑白;明艳	2;1;0;3	看到黑白两色的组合,这件衣裙仿佛自带着十足的高冷范儿!它的搭配也应该走高冷路线,搭配的装饰物还是以简约风为主,颜色不宜过于明艳靓丽。搭配的鞋子外套的话,还是建议与黑白相搭,保留原本的颜色。
261	简约新款春装欧美中长款纯白雪纺短袖衬衫修身衬衣女褶皱双肩系带收腰	褶皱;双肩;系带;收腰	1;0;2;3	双肩和腰部细节上的褶皱更突出服装设计上的精致,加上系带的设计,收腰显身段
262	艾维女装时尚个性露肩开襟中长款连衣裙子新库存紧缺露肩开襟收腰	露肩;开襟;收腰	0;1;2	露肩开襟连衣裙,独特的露肩设计,让穿着此款的你更添甜美气息,个性时尚织法的面料,手感舒适,透气性好,独特收腰设计,完美展现女性淑女气质
263	-日系火影忍者t恤宇智波斑潮牌动漫周边男纯棉圆领短袖圆领印花搭配漫画	圆领;印花;搭配;漫画	3;1;2;0	对于火影的漫画迷这款t恤为你带来惊喜,很有个性的印花以及经典的色彩的搭配,为你带来吸睛的亮点,经典的圆领舒适休闲。
264	【.】正品春装新款夏季女装雪纺衫蕾丝透视女上衣长袖节奏蕾丝薄	节奏;蕾丝;薄	1;2;0	以蕾丝、薄纱为主打,穿这些薄透露的款式,若隐若现的轻松的节奏,将所有女生的天真、可爱、浪漫、演绎得非常贴切
265	欧美新款牛仔长裙子半身裙半截裙包臀大摆休闲a字裙韩版碎花帆布搭配	碎花;帆布;搭配	0;1;2	牛仔裙也可以演绎出这种安静清澈。长短适宜,带有俏皮的昧道.
266	歌莉娅夏季印花休闲女短裤时尚百搭热裤还原印花图案	还原;印花;图案	1;2;0	是否厌倦了千篇一律的印花图案,在这个夏季,海洋风席卷而来,清新一夏;生动的海洋生物印花,还原浅海的生命画卷,独特的风格告别沉闷与平庸,尽情展
267	卡汶春夏高档品牌天丝文艺宽松大码薄无袖时尚背心连衣裙女迷人淡妆高档剪裁	迷人;淡妆;高档;剪裁	2;3;1;0	高档面料加时尚设计师精选设计,简约的设计和剪裁,轻易展现出脱俗的高雅姿态,淡妆素裹亦可艳压群芳性感迷人。
268	[111.1元抢]－秒杀不退换11月9日清仓荷叶领上衣衬衫减龄轻薄搭配	减龄;轻薄;搭配	2;1;0	柔美百搭,无论与裤装还是裙装皆可轻松混搭;搭配本季同款轻薄裤装,亮眼减龄,极具潮流季节感。
269	春夏装蚕丝显瘦女士九分裤薄款欧美风长裤黑色真丝哈伦裤女真丝长显瘦	真丝;长;显瘦	2;0;1	非常显瘦的一款真丝裤子,想要ol风或者随意搭都很显风味,羡刹旁人帅气的款式加上恰到好处的裤长设计把女性的精干提升到了顶端。
270	生活在左新款立领连衣裙假两件开口碎褶摆裙潮米白色无声廓型	米白色;无声;廓型	0;2;1	米白色温润柔和,轻盈透亮,简洁的廓型,如诗一般形制高杰。纯天然面料,自然舒适,假两件式的设计,增添了层次感,结合面料特殊肌理,留露出无声之美
271	春秋专柜新款欧美嬉皮风印花短款卫衣女t顺滑版型保暖	顺滑;版型;保暖	0;1;2	衣服面料细腻柔然,光泽亮丽,顺滑,奢华与高贵的完美结合,衣服版型,时尚大气,有很好的保暖效果
272	沐兰秋冬印花拼接气质长袖高腰连衣裙女一字领七分袖中裙皮肤版型花纹一字领	皮肤;版型;花纹;一字领	3;0;2;1	一字领设计露出更多肩部皮肤,剩余部分与肩部完美的契合,从颈部到肩部没有间隙一气呵成。复杂花纹更好的装饰全身,为规矩的版型增加了一些活泼感。
273	尼班诗欧美印花雪纺休闲裤小脚铅笔裤女夏装新款薄梵弹力印花大小花色	弹力;印花;大小;花色	1;3;0;2	nibbuns欧美风快时尚领先品牌该款裤子采用独特的印花设计,个性十足。两中花色,腰部富有弹力,可以随意调节大小,穿着方便。裤子面料柔软舒适,自然
274	德诗女装大提花短外套女纯棉时尚气质修身外套几何拼接色版型h型	几何;拼接色;版型;h型	3;0;1;2	h型短装,几何拼接色,增加了时尚感,容易穿搭,实穿性比较好,强烈的视觉效果,挺阔的版型,修饰身材,显得精神抖擞。
275	/杰胜专柜正品夏装新款纯棉弹性v领短袖t恤时尚修身高端男装高端奢侈品质剪裁	高端;奢侈;品质;剪裁	1;3;2;0	zsnoi(杰胜),国内时尚轻奢侈男装品牌,意大利名师精心设计、面料奢华、剪裁严谨、品质优雅,为高端精英男士度身打造,开创智族人群轻奢侈时代新风潮
276	【瑞儿狂欢价】瑞可儿欧美露脐复古印花雪纺雏菊花朵连衣裙印花露脐花朵无袖	印花;露脐;花朵;无袖	3;1;2;0	无袖设计,夏日清凉;露脐设计,性感风情。加上复古雏菊花朵印花,立马演绎不一样的风情。
277	男士五分沙滩短裤宽松休闲夏季裤衩居家纯棉白色加大码裤头外穿潮松紧长度系带五分	松紧;长度;系带;五分	3;1;0;2	简洁百搭的短裤,口袋的装饰,清新又富有实用性。五分长度的设计,活动不受限制,又轻松的修饰腿部线条,松紧系带的腰部,尽显活力。
278	所在新款花边领印花中袖衬衣女七分袖衬衫圆领印花插肩袖	圆领;印花;插肩袖	0;2;1	细碎小巧的花边形圆领优美可爱,衬托了颈部线条。独特的插肩袖设计穿着更加舒适。同色系丝网印花即柔美淡雅,又不影响面料本身的柔软性。
279	【开年大促】猪猪的店设计师经典黑白方格高腰连衣裙大牌修身外穿内搭	大牌;修身;外穿;内搭	1;0;2;3	修身效果超好,上身后也不会有拘束感。
280	夏季新品男装圆领修身潮牌骷髅头烫钻短袖t恤男大码情侣装t恤圆领图案显瘦	圆领;图案;显瘦	0;2;1	经典的圆领设计,修饰着颈部的线条与脸型,更加显瘦,衣身的骷髅头图案,彰显叛逆的色彩,采用了烫钻的工艺,立体感很好且不易脱落,质感很好。
281	木乃伊设计潮牌男士卡通印花时尚休闲短裤棉沙滩裤炫色印花图案剪裁	炫色;印花;图案;剪裁	1;0;2;3	经典的太空人印花设计,先进的印花技术让眼睛感受色彩带来的时尚快感。采用胶印的工艺手法,并使用日本松井环保浆料处理炫色鲜亮,图案清晰且不易变形,平整的贴合衣身,富有立体感。口袋处采用直形剪裁技术,让手插口袋变得更舒适,贴合。
282	设计潮牌男短袖印花t恤休闲圆领纯棉夏装森林女王短袖t恤印花图案牛头	短袖t恤;印花;图案;牛头	3;1;0;2	潮酷的牛头印花短袖t恤,活灵活现的印花图案就是心情的代表作,着装风格新演绎,让人眼前一亮!
283	拼色设计贴袋装饰女士外套绿色皮肤漂染保暖	绿色;皮肤;漂染;保暖	1;2;0;3	michaelkors女士外套主要由棉花制作而成。棉花天然柔和,皮肤接触无刺激。无异味,无污染,无漂染,无任何添加物,气息清新自然,是绝对温暖、健康、环保的绿色产品。尤其对老人和儿童更为适用,是健康保暖的棉花首选。
284	[111.1元秒]品牌清仓品质连衣裙蕾丝拼接雪纺短袖姜黄色蕾丝裙女双层印花图案	双层;印花;图案	1;2;0	用细腻的笔触,呈现出若隐若现的植物印花,让图案设计,更显浪漫柔美。双层的处理,带给你不一样的感觉,而且典雅大气,颇有时尚的气质。
285	夏新款雪纺衫韩版宽松系带蝙蝠袖女打底衫时尚豹纹小衫下摆元素豹纹版型	下摆;元素;豹纹;版型	2;1;3;0	潇洒又御姐范儿的豹纹衬衫,轻松穿出气场。抢眼的豹纹元素,诠释出它应有的时髦态度,有腔调、有优雅,一件就能凹出街拍范儿。轻奢的全真丝面料,拥有良好的光泽感,加上豹纹肌理的承托,吸睛十足。宽松的版型,衬衫下摆可随意塞入下装中,休闲更自在。
286	欧洲站夏新款欧美真丝宽松大码女装修身显瘦t恤女潮碧针织高端真丝	碧;针织;高端;真丝	2;3;1;0	00%高端真丝面料与舒适针织结合,运用碧纹炒色技术。清晰靓丽的色彩生活在轻松随性中展现俏丽活泼的个性美。《欧范小姐》:时尚编辑connie
287	工装裤男长裤宽松直筒秋冬大码多口袋欧美军裤迷彩潮男休闲裤多口袋直筒版型	多口袋;直筒;版型	0;1;2	帅气拉风的一款多口袋直筒军裤,其中加入了新潮的时尚感,穿起来效果非常棒。直筒版型酷感十足,率真爽朗,走在街上非常亮眼。多口袋设计彰显军事风格,瞬间点亮服饰主题。
288	春装新品欧美大牌字母亮片灯笼袖套头卫衣女闪亮圆领搭配	闪亮;圆领;搭配	1;0;2	时尚优雅的圆领亮片外套闪亮登场简约的圆领能展示出完美的锁骨线条还能给人一种轻松自由的感觉适合多种搭配视觉效果好的没话说之外随意性也是让很
289	夏装新款欧美简约中性通勤细条纹中腰直筒卷边休闲裤女弹力蓝绿色涤棉清爽	弹力;蓝绿色;涤棉;清爽	0;2;1;3	采用日本进口的弹力涤棉面料,手感极佳穿着舒适,清新的蓝绿色透着浓厚的夏日气息,清爽自然
290	春季长袖拉链立体网眼织纹上衣女个性时尚透视感外套摩安珂版型透视立体透气	版型;透视;立体;透气	2;3;0;1	立体网眼织纹面料带来舒适透气的穿着体验,宽松短小版型修饰身形,凸显高挑纤瘦的身姿线条,很前卫的透视设计,凸显个性时髦的风格。
291	手动下架短款印花字母大	短款;印花;字母;大	0;2;1;3	潮妞怎么会拒绝火到爆棚的短款高腰t。简约街头的字母印花t,百搭款是14年t的一大流行趋势,只需要一款简约的牛仔裤就能轻松变身海报女郎,俏皮又性感
292	美国正品现货男抓绒卫裤运动家居休闲裤印花字母温度抓绒	印花;字母;温度;抓绒	0;1;3;2	简单的运动款式的休闲裤,不需要太多浮夸的设计,就简单的印花或者是大方的字母设计,就体现出嘻哈而又自由的生活态度,舒适的抓绒内里也保障了温度与舒适,让你自由彰显魅力。
293	2件元烟花烫夏装新款印花雪纺大摆半身裙长裙紫陌清幽印花花朵大摆	印花;花朵;大摆	2;1;0	一款浪漫唯美的大摆长裙,栩栩如生的花朵,让人心生爱怜,本来就美美的印花面料还有肌理感,既低调奢华又不失甜美感,面料飘逸垂性好,上身效果甜美,
294	无有无印原创春夏新款欧根纱拼接翻领复古短袖连衣裙翻领美化搭配欧根纱	翻领;美化;搭配;欧根纱	3;2;1;0	简单的连衣裙设计却有着极富感染力的感觉,欧根纱拼接的搭配,美化衣服又美化心情,简简单单的设计,搭配复古翻领设计,更性感
295	霏霏短外套薄外套夏季甜美波点小外套薄款女士小披肩小坎肩上衣元素搭配波点纯棉	元素;搭配;波点;纯棉	2;0;1;3	波点一直是服装设计重要元素之一,这款潮t融入甜美潮流风,使之更加时尚,白色底搭配让其时尚又俏皮可爱,纯棉的面料,透气性和吸汗性好,穿着舒适大方
296	/曼娅奴旗舰店夏季女装时尚套装短袖上衣休闲运动短裤女专柜大牌图案	专柜;大牌;图案	0;1;2	【专柜品牌】大牌感向来不是用繁复的设计取胜的,而是应该用精致的的细节来吸引关注的。简单自然的风格,精美的刺绣图案,整体简约大气,时尚中透着质
297	乔万尼官方旗舰店女装专柜清仓桑蚕丝短袖印花真丝连衣裙女中长夏一眼印花图案浅色系	一眼;印花;图案;浅色系	3;1;2;0	浅色系颜色使用的这一件连衣裙最大的设计亮点在于衣裙上面的印花图案的设计诺,这样的图案的设计使得整一件衣裙给人一种很时髦以及很有优雅感觉味气息,一种让人一眼看过去就会喜欢的设计。
298	柒唐中国风新款男士低腰牛仔裤绣花破洞水洗直筒原创元素高端定位	原创;元素;高端;定位	2;1;3;0	由一群青年设计师团队创立的时尚中国风高端男装品牌柒唐,其设计风格以颠覆流行和时尚,融入传统中国风元素,游离于新潮与古典的设计空间中。品牌通过创新考究的制作工艺以及设计理念,为消费者呈现经典的服装作品。品牌深入了解中国传统服装的韵味和世界观,定位于年轻人的潮流时尚唐装,坚持“中国设计师”原创品牌道路,来引导消费者着装理念的流行文化。
299	千奴正品真丝高端夏季新款女装街头欧美印花桑蚕丝连衣裙子桑蚕丝高端印花领型	桑蚕丝;高端;印花;领型	3;2;1;0	经典领型简约时尚,衬托优雅气质,欧美印花设计高端奢华上档次,桑蚕丝面料手感丝滑舒适。
300	男装春季新品男士商务休闲星空图案修身长袖衬衫衬衣撞色版型星空图案	撞色;版型;星空;图案	2;3;0;1	星空图案休闲衬衫,衣面处精致的星空图案撞色拼接,展现不一样的青春气息,简约大气的版型设计,配以优质舒适的面料,随心百搭创想,彰显活力。
301	欧芮儿夏季新款女装优雅白色淑女蕾丝衫中长款七分袖上衣女纹理透视米白绣花	纹理;透视;米白;绣花	1;3;0;2	优雅透视绣花,纹理分明,精致有美感,气质米白与浪漫材料的结合,更易穿出优雅清新的淑女形象
302	{清仓}歌莉娅新款秋圆领套头印花收腰梭织衫女大码下摆本色抽褶节奏	下摆;本色;抽褶;节奏	1;0;2;3	本色中还透露出女性的干练与优雅,那下摆的抽褶添加了细节美与节奏美,俏皮感不言而喻。
303	九分灯笼裤夏装新款欧美简约通勤白色宽松高腰休闲裤女有型搭配遮挡显瘦	有型;搭配;遮挡;显瘦	2;3;1;0	这款休闲裤非常的个性有范儿,有点萝卜裤的款式设计,能够巧妙的遮挡腿部多余的赘肉,视觉上非常显瘦,利落的裁剪,露出性感的脚踝,随意搭配鞋子,都很有型。
304	男装衬衫秋季新款男士修身波点拼接长袖衬衣方领波点品质	方领;波点;品质	1;0;2	本款男士衬衫全身可爱波点设计,展露纯真男孩气;精致方领设计,稳固您的时尚造型;精致的肩部设计,拼接处衔接自然,上乘品质的体现;精致的拼接设计
305	欧丝伽罗夏秋新款水溶蕾丝连衣裙收腰显瘦一步裙包臀a字裙下摆版型蕾丝钩花	下摆;版型;蕾丝;钩花	0;1;2;3	精选优质面料,色泽均匀饱和,飘逸宽松下摆,垂感极佳,版型唯美,精致的蕾丝钩花,浪漫唯美。
306	【折】卡汶夏季新款高档荷叶印花不规则无袖背心衬衫绿色葱绿抹茶绿芥末绿	绿色;葱绿;抹茶绿;芥末绿	3;2;1;0	芥末绿、抹茶绿、萌葱绿,各种不同程度的绿色汇聚成一个生机蓬勃的森林,满足着这个夏天对雨林的所有美好幻想。
307	夏装潮牌肌肉疼字母t恤短袖男个性搞笑印花纯棉半袖烫金纯棉	半袖;烫金;纯棉	0;2;1	这款半袖是纯棉的材质透气性很好哦,穿上以后会感觉很舒服,烫金的设计,也有意思哦。
308	[吞福]万剑诀人合一中国风武侠原创设计全棉白色印花短袖潮t恤印花图案不规则	印花;图案;不规则	2;0;1	满幅不规则排列的&rdquo;神剑&ldquo;印花图案,给人一种&rdquo;贱贱的&rdquo;、&ldquo;萌萌的&rdquo;感觉,一种青春的不羁味道蕴藏其中,创意十足,个
309	巴古利原创胖mm夏装大码宽松棉麻连衣裙文艺范短袖中长款裙子棉麻纯色品质显瘦	棉麻;纯色;品质;显瘦	1;0;3;2	纯色棉麻连衣裙显瘦简约设计大方具有品质适合各种身材的mm文艺范休闲风的创新者。
310	拾装春季新款欧美百搭机车女皮衣短款修身立领皮夹克外套下摆元素立领	下摆;元素;立领	2;0;1	精致立领,大大提升机车气质。肩部及下摆微机车元素的添加,隐约透露机车女王优雅气质。
311	职业装女装套装夏季套裙两件套移动工作服女短袖正装职业马甲羊毛有型常规不规则	羊毛;有型;常规;不规则	2;1;3;0	作为一个上班族,很多场合都少不了需要穿职业装去突显我的职业女性范。但是常规的职业装的呆板让我很是苦恼!但是这一款小西服职业装却完全给了我一个大大的惊喜,原来职业装也可以这么的有型有款,不再呆板,不规则的设计以及舒适的羊毛面料简约时尚的同时气势非凡,点赞!
312	夏季新款无袖t恤女街头潮宽松中长款几何图案休闲背心印花图案大圆领	印花;图案;大圆领	2;1;0	深u大圆领的设计露出了性感的锁骨,妩媚之致。独特的图案印花,赋予烫钻的立体感,带有一点复古味道。
313	.女装新款打底吊带上衣时尚印花工字小背心棉印花成分	棉;印花;成分	1;0;2	衣服的整体非常简洁,时尚印花很有范儿,加入棉的成分上身尤其舒适,相信这款超时尚的小背心绝对会让你惊艳!
314	夏装新品欧美西装领大牌双排扣无袖连体裤有型双排灰色无袖	有型;双排;灰色;无袖	0;1;2;3	超大牌有型的,
315	蔓苓草夏季新款女装纯棉圆领腰带宽松中长款连衣裙休闲长裙短袖条纹中长款	短袖;条纹;中长款	1;2;0	条纹是永不衰退的经典,它的多种形式造就出不同的美感,这款带点文艺小清新的条纹采用宽松中长款短袖连衣裙款式。
316	独立设计黑色蕾丝裙高腰包臀裙半身裙女春新款中长款a字裙搭配蕾丝白领黑色	搭配;蕾丝;白领;黑色	3;1;2;0	特色:黑色蕾丝是都市女性的标志之一,简洁的ol风格让我们追求不已,干练的气质与风格就是白领一直的追求,这款黑色蕾丝半身裙也很百搭,平常一件t恤就可以任意搭配了。
317	夏装新款欧美大牌刺绣亮片钉珠修身无袖雪纺背心女闪亮珠片立体	闪亮;珠片;立体	0;2;1	如露珠般闪亮的亮片配衬精细的立体缝线,饰以棉纱及薄纱细节,珠片刺绣妆点婀娜身影。
318	a大调b小调夏装新款韩版钩花蕾丝休闲修身短裤热裤女*修身蕾丝钩花	修身;蕾丝;钩花	2;1;0	韩版钩花蕾丝休闲修身短裤,款式新颖独特,穿起来很时尚,是姐妹们必备的选择.
319	拉谷谷夏季新款钉珠镶钻简约舒适女上衣组合镶钻人工	组合;镶钻;人工	2;1;0	全部都是人工一朵一朵手工钉上去的哦,花心中间超精致的镶钻饰物更是精致无比,真的是异常高级范,自然生成温润气质感!组合在一起,瞬间赋予整款时尚
320	清仓特价夏季新款女装网纱绣花修身系带公主裙背心连衣裙仙缠绕网纱绣花交织	缠绕;网纱;绣花;交织	1;2;3;0	奢华的网纱绣花面料如同希腊的古典雕塑中晶莹踢透的浮雕,交织着,缠绕着,缱绻着,一丝一缕中都是针线穿梭的功劳,塑造的却是非凡的气质美感,是美的
321	[111.1元秒]品牌清仓睫毛蕾丝衫透视两件套上衣衬衫蕾丝罩衫落肩蕾丝立体	落肩;蕾丝;立体	0;2;1	落肩宽松款式设计,散发潮流慵懒味道,立体流畅线条为简洁轮廓注入轻灵美感,倍显温柔大方。浪漫蕾丝因淡雅用色而愈发纯美娇柔,是半熟轻优雅的最佳诠
